ProteinName	GeneID	ChlamydomonasID	logFC	logCPM	PValue	FDR	TMM:DC60.R1T6	TMM:DC60.R2T6	TMM:DC60.R3T6	TMM:DC67.R1T6_6	TMM:DC67.R2T6_6	TMM:DC67.R3T6_6
Carbonic.anhydrase	NULL	Cre04.g223100	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase	NULL	Cre09.g405750	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase	comp12874_c0	Cre13.g607350	-0.12	9.27	0.75	0.92	729.58	435.04	662.31	536.08	616.81	576.76
Carbonic.anhydrase.3	comp9308_c1	Cre09.g415700	3.29	3.25	0.0	0.0	2.49	1.08	1.81	16.81	18.18	18.20
Carbonic.anhydrase.6	NULL	Cre12.g485050	-	-	-	-	-	-	-	-	-	-
Carbonic.anhydrase.alpha.type.periplasmic	NULL	Cre04.g223050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	NULL	Cre01.g012050	-	-	-	-	-	-	-	-	-	-
Formate.nitrite.transporter	comp11989_c2	Cre07.g335600	-0.03	6.31	0.85	0.97	35.98	23.59	31.56	30.19	27.99	29.93
Formate.nitrite.transporter	NULL	g4546.t1	-	-	-	-	-	-	-	-	-	-
Gamma.carbonic.anhydrase	comp13466_c0	Cre06.g293850	-0.27	7.39	0.39	0.67	97.81	102.34	106.39	84.04	99.91	81.80
Gamma.carbonic.anhydrase	comp13422_c0	Cre09.g415850	-0.13	7.48	0.62	0.85	145.99	155.41	162.38	136.35	146.37	145.44
Gamma.carbonic.anhydrase	comp6889_c0	Cre12.g516450	-0.01	6.43	0.97	1.0	68.94	83.67	69.39	74.81	74.24	71.36
Glutamate-1-semialdehyde.aminotransferase	comp18932_c0	Cre03.g158000	0.97	5.25	0.0	0.02	27.97	9.79	8.45	25.28	41.65	30.58
Glutamyl-tRNA.reductase	comp5734_c0	Cre07.g342150	0.22	7.67	0.33	0.61	112.82	97.02	126.19	129.37	133.58	132.29
High.affinity.nitrate.transporter	comp14820_c0	Cre09.g410800	3.97	9.86	0.0	0.0	33.00	129.67	4.28	946.71	1008.76	662.63
Iron.permease.membrane.protein	comp13324_c0	Cre03.g192050	0.65	8.39	0.01	0.04	259.77	137.35	207.27	298.35	359.64	324.72
Light-harvesting.protein.of.photosystem.I	comp12770_c0	Cre12.g508750	-0.79	9.53	0.0	0.01	1004.65	1290.84	888.60	632.82	691.62	564.00
Light-harvesting.protein.of.photosystem.II	NULL	Cre12.g548400	-	-	-	-	-	-	-	-	-	-
Low-affinity.phosphate.transporter	comp15173_c0	Cre06.g251650	-0.66	6.38	0.03	0.13	47.69	45.62	51.81	27.88	41.93	30.42
Mitochondrial.carbonic.anhydrase	NULL	Cre05.g248450	-	-	-	-	-	-	-	-	-	-
Mitochondrial.carbonic.anhydrase.beta.type	NULL	Cre05.g248400	-	-	-	-	-	-	-	-	-	-
Nitrate.reductase	comp16162_c0	Cre09.g410950	2.61	8.19	0.0	0.0	32.73	47.56	9.47	211.98	173.22	142.55
Nitrate.transporter	NULL	Cre09.g396000	-	-	-	-	-	-	-	-	-	-
Nitrite.reductase	comp14855_c0	Cre09.g410750	2.35	8.7	0.0	0.0	77.67	61.82	23.67	286.35	308.12	244.41
Nitrite.transporter	comp11872_c2	Cre12.g541250	3.18	7.01	0.0	0.0	3.96	37.75	4.63	156.19	145.26	110.30
Nitrogen.regulatory.protein.PII	comp14874_c0	Cre07.g357350	-0.12	4.98	0.51	0.78	26.04	49.27	35.87	35.76	28.03	33.96
Phosphate-repressible.alkaline.phosphatase	NULL	Cre04.g216700	-	-	-	-	-	-	-	-	-	-
Phosphate.acetyltransferase	comp12502_c0	Cre09.g396650	-1.28	7.83	0.0	0.0	127.78	168.41	116.70	57.62	67.75	51.92
Phosphate.acetyltransferase	NULL	Cre17.g699000	-	-	-	-	-	-	-	-	-	-
Single.helix.LHC.light.protein	comp12022_c1	Cre02.g109950	0.73	6.15	0.0	0.02	32.61	23.37	28.13	48.64	44.72	44.92
Transcription.factor.regulating.nitrogen.metabolism	NULL	Cre03.g177700	-	-	-	-	-	-	-	-	-	-
